type,name,capacity,generation-00:00,note-00:00,generation-11:10,note-11:10
nuclear,核二#1,985.0,845.9,燃料限制,841.9,燃料限制
nuclear,核二#2,985.0,977.3,,971.9,
nuclear,核三#1,951.0,952.9,,949.5,
nuclear,核三#2,951.0,946.1,,942.6,
nuclear,小計,3872.0(7.793%),3722.2(12.020%),,3705.9(10.145%),
coal,林口#1,800.0,746.6,,754.6,
coal,林口#2,800.0,752.0,,760.6,
coal,林口#3,800.0,753.6,,763.8,
coal,台中#1,550.0,471.8,,515.0,
coal,台中#2,550.0,470.2,,517.9,
coal,台中#3,550.0,482.9,,519.6,
coal,台中#4,550.0,467.7,,516.8,
coal,台中#5,550.0,530.1,,527.4,
coal,台中#6,550.0,0.0,故障,0.0,故障
coal,台中#7,550.0,476.7,,518.4,
coal,台中#8,550.0,485.7,,509.9,
coal,台中#9,550.0,519.7,,519.9,
coal,台中#10,550.0,524.3,,517.6,
coal,興達#1(註12),500.0,471.4,,471.4,
coal,興達#2(註12),500.0,476.5,,468.3,
coal,興達#3(註12),550.0,523.7,,519.8,
coal,興達#4(註12),550.0,512.5,,518.6,
coal,大林#1,800.0,757.0,,763.1,
coal,大林#2,800.0,757.9,,762.5,
coal,小計,11600.0(23.347%),10180.3(32.876%),,10445.2(28.593%),
cogen,汽電共生,618.0,1032.7,部分故障,968.0,部分故障
cogen,小計,618.0(1.244%),1032.7(3.335%),,968.0(2.650%),
ippcoal,和平#1,648.6,578.6,,605.8,
ippcoal,和平#2,648.6,581.8,,607.8,
ippcoal,麥寮#1,600.0,570.3,,571.4,
ippcoal,麥寮#2,600.0,569.4,,570.0,
ippcoal,麥寮#3,600.0,575.5,,577.1,
ippcoal,小計,3097.1(6.234%),2875.6(9.286%),,2932.1(8.026%),
lng,大潭CC#1,742.7,630.1,,631.3,
lng,大潭CC#2,742.7,651.0,,625.1,
lng,大潭CC#3,724.7,650.1,,585.4,
lng,大潭CC#4,724.7,669.4,,659.8,
lng,大潭CC#5,724.7,682.2,,598.0,
lng,大潭CC#6,724.7,0.0,歲修,0.0,歲修
lng,大潭CC#7,600.0,288.5,,199.0,
lng,通霄CC#1,892.6,881.8,,871.2,
lng,通霄CC#2,892.6,872.6,,866.1,
lng,通霄CC#3,892.6,868.6,,861.0,
lng,通霄CC#4,386.0,343.9,,307.6,
lng,通霄CC#5,386.0,325.1,,322.6,
lng,通霄CC#6,321.2,347.1,,343.2,
lng,興達CC#1,445.2,320.7,,337.4,
lng,興達CC#2,445.2,40.8,測試運轉,89.8,歲修
lng,興達CC#3,445.2,320.5,,352.3,
lng,興達CC#4,445.2,338.6,,334.3,
lng,興達CC#5,445.2,341.9,,336.8,
lng,南部CC#1,288.8,291.6,,237.3,
lng,南部CC#2,288.8,277.0,,199.6,
lng,南部CC#3,288.8,260.0,,231.7,
lng,南部CC#4,251.4,0.0,檢修,0.0,檢修
lng,大林#5,500.0,447.2,運轉限制,446.6,運轉限制
lng,大林#6,550.0,0.0,歲修,0.0,歲修
lng,小計,13149.0(26.465%),9848.7(31.805%),,9436.1(25.831%),
